-,-,-
-127, -1001, 185
-137, -1024, 234
-114, -984, 201
-98, -973, 146
-100, -971, 148
-107, -955, 199
-119, -971, 223
-124, -984, 188
-140, -989, 141
-156, -984, 145
-167, -977, 139
-189, -963, 167
-189, -963, 167
-234, -974, 144
-315, -1003, 119
-429, -1015, 115
-587, -1028, 120
-712, -1044, 138
-771, -1020, 124
-784, -1023, 59
-725, -1020, -7
-631, -930, -90
-543, -843, -59
-449, -809, 48
-366, -870, 118
-264, -807, 154
-161, -775, 224
-43, -761, 250
-43, -761, 250
78, -775, 339
167, -762, 451
273, -737, 610
324, -792, 663
432, -706, 721
471, -757, 720
484, -809, 742
484, -809, 742
519, -815, 724
547, -797, 639
531, -823, 654
504, -844, 639
469, -878, 608
441, -901, 560
423, -882, 536
423, -882, 536
424, -815, 522
434, -774, 513
447, -706, 509
473, -615, 531
538, -527, 546
642, -396, 582
629, -321, 572
629, -321, 572
522, -397, 673
470, -465, 806
509, -412, 861
517, -273, 904
376, -325, 936
158, -493, 810
83, -578, 822
83, -578, 822
19, -490, 789
-168, -589, 795
-311, -813, 774
-412, -812, 696
-529, -858, 683
-646, -965, 567
-784, -1086, 543
-931, -1165, 651
-1001, -1259, 634
-1007, -1268, 618
-1010, -1232, 551
-1022, -1287, 498
-945, -1261, 436
-816, -1109, 396
-754, -1013, 416
-749, -1009, 433
-713, -945, 417
-686, -838, 386
-731, -766, 376
-788, -712, 428
-788, -712, 428
-840, -680, 401
-830, -584, 430
-764, -502, 417
-705, -470, 384
-676, -468, 361
-634, -463, 362
-578, -464, 492
-497, -424, 616
-418, -431, 687
-340, -496, 756
-244, -509, 898
-133, -539, 1023
-27, -539, 1128
53, -559, 1142
53, -559, 1142
100, -582, 1156
160, -564, 1263
226, -523, 1350
258, -492, 1293
247, -529, 1223
215, -550, 1208
178, -563, 1196
140, -566, 1123
