-,-,-
-46, -967, 7
-29, -971, 54
-47, -977, 56
-47, -977, 56
-60, -1013, 31
-69, -1014, 11
-70, -985, 50
-77, -985, 55
-115, -1030, 44
-149, -1020, 25
-203, -980, 30
-203, -980, 30
-318, -974, -44
-513, -876, -138
-801, -834, -147
-1030, -832, -116
-1125, -842, -95
-1198, -904, -52
-1197, -865, -9
-1120, -808, 46
-1085, -860, 1
-1018, -886, 9
-861, -837, 99
-702, -814, 86
-508, -806, 101
-508, -806, 101
-288, -856, 158
0, -868, 220
246, -807, 305
434, -807, 609
670, -845, 854
798, -836, 873
838, -813, 810
838, -813, 810
836, -808, 705
782, -709, 556
643, -645, 462
524, -511, 377
449, -263, 218
349, -115, 73
349, -115, 73
247, -40, 92
211, 33, 211
218, 119, 279
184, 102, 386
184, 102, 386
65, -130, 627
9, -414, 672
77, -661, 504
157, -787, 343
141, -928, 441
141, -928, 441
109, -1128, 742
65, -1389, 1030
64, -1521, 1144
115, -1509, 1064
115, -1480, 1120
83, -1497, 1285
84, -1511, 1343
142, -1397, 1236
166, -1307, 1092
179, -1216, 941
177, -1174, 876
176, -1154, 968
269, -1037, 972
440, -880, 934
440, -880, 934
661, -739, 843
852, -679, 897
950, -657, 1108
967, -617, 1129
860, -631, 1039
707, -654, 996
543, -675, 1006
334, -757, 978
118, -731, 1012
118, -731, 1012
-99, -639, 944
-303, -515, 860
-512, -438, 825
-641, -384, 825
-719, -298, 700
-818, -327, 654
-952, -511, 646
-1028, -660, 583
-1000, -616, 618
-924, -594, 682
-845, -680, 721
-772, -785, 754
-649, -871, 715
-494, -946, 729
-494, -946, 729
-399, -1079, 777
-388, -1326, 983
-358, -1605, 1152
-298, -1779, 1218
-256, -1831, 1182
-328, -1928, 1060
-445, -1972, 1013
-372, -1743, 956
-243, -1388, 840
-157, -1095, 645
-157, -1095, 645
-131, -890, 441
-60, -596, 289
40, -301, 207
37, -171, 124
85, 6, 78
161, 164, 181
161, 164, 181
198, 226, 205
206, 279, 133
153, 150, 94
66, -50, 15
66, -50, 15
-12, -242, 14
-78, -383, 34
-,-,-
-157, -1023, 94
-152, -990, 86
-161, -982, 93
-164, -991, 69
-164, -991, 69
-184, -972, 132
-229, -981, 110
-302, -986, 77
-414, -970, 69
-559, -922, 50
-706, -730, -10
-858, -643, -32
-1013, -676, -12
-1151, -666, 21
-1221, -667, 87
-1221, -667, 87
-1174, -643, 114
-1094, -634, 79
-1034, -698, 15
-950, -778, 91
-826, -860, 216
-574, -877, 336
-266, -930, 334
-9, -979, 284
185, -1080, 338
325, -1291, 453
444, -1412, 561
609, -1412, 750
609, -1337, 750
819, -1113, 761
900, -900, 613
851, -814, 560
777, -709, 615
690, -513, 610
574, -320, 515
452, -188, 373
321, -71, 176
321, -71, 176
225, 102, 81
145, 221, 145
39, 191, 268
